timestamp_us,ecg,leads,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
2009292,1615.0,1,195380,0.07,-0.18,9.98,-0.03,-0.01,-0.0,31.43,0.090779,4.873351874662549,-6.6684403663148375,9.981868562548797,0.03162277660168379,0.025082916128079127,-0.009780659926703348
2085165,1617.0,1,195491,0.07,-0.18,9.98,-0.03,-0.01,-0.01,31.43,0.166652,-43.8757502716448,117.49806932246621,9.981868562548797,0.033166247903554,-0.22859630908640585,0.16959414898297415
2163165,1728.0,1,195496,0.07,-0.16,9.96,-0.03,-0.01,-0.0,31.43,0.244652,50.911657622111484,145.16052031869776,9.961531006828219,0.03162277660168379,0.26465577425270975,0.20955618765072195
2243159,1617.0,1,195475,0.07,-0.18,9.98,-0.03,-0.01,-0.01,31.43,0.324646,-109.76872857661581,142.66856625544781,9.981868562548797,0.033166247903554,-0.5714883614017959,0.20595623316196707
2323160,1646.0,1,195627,0.07,-0.18,10.0,-0.03,-0.01,-0.01,31.43,0.404647,-93.03872818971765,323.2180224053488,10.001864826121176,0.033166247903554,-0.48442924955910044,0.46678360341509817
2403160,1753.0,1,195714,0.06,-0.19,10.01,-0.03,-0.01,-0.0,31.43,0.484647,-32.80286688037179,438.30760228289404,10.011982820600522,0.03162277660168379,-0.17097554570992077,0.6330455966834411
2483218,2033.0,1,195204,0.07,-0.18,10.0,-0.03,-0.01,-0.01,31.43,0.564705,240.4735658082083,-34.04593119164894,10.001864826121176,0.033166247903554,1.2510927727128125,-0.04933103625224862
2563160,1890.0,1,194834,0.06,-0.17,10.01,-0.03,-0.01,-0.01,31.43,0.644647,54.91038705607083,-364.264426094748,10.011623245008773,0.033166247903554,0.2854642515371678,-0.5263749635572025
2643161,1746.0,1,194897,0.08,-0.17,10.0,-0.03,-0.01,-0.0,31.43,0.724648,-89.36589521520096,-253.77205482478917,10.001764844266235,0.03162277660168379,-0.46531666322835546,-0.3667542410918372
2723159,1836.0,1,195024,0.08,-0.19,9.96,-0.03,-0.01,-0.01,31.43,0.804646,-37.25668351878824,-75.82420616132721,9.962133305673039,0.033166247903554,-0.19415219316262575,-0.10968523407938714
2803160,1743.0,1,195026,0.06,-0.17,9.99,-0.03,-0.01,-0.01,31.43,0.884647,-124.08715636976628,-18.388515799583924,9.991626494220048,0.033166247903554,-0.6459981986897653,-0.026711846093721767
2883160,1814.0,1,195137,0.04,-0.17,10.0,-0.03,-0.01,-0.01,31.43,0.964647,-86.77691068215437,151.6484377552168,10.00152488373648,0.033166247903554,-0.45184417734616583,0.21892883534223162
2963160,2429.5,1,195253,0.06,-0.19,9.98,-0.03,-0.01,-0.01,31.43,1.044647,540.3876720038176,326.78629146797874,9.98198877979734,0.033166247903554,2.8117774774742927,0.47193843608980124
3048215,1778.0,1,195354,0.06,-0.18,9.98,-0.03,-0.01,-0.0,31.39,1.129702,-141.97060970615198,489.7921939363583,9.981803444267975,0.03162277660168379,-0.7390596169886736,0.7074218420396182
3124160,1978.0,1,195062,0.06,-0.18,9.97,-0.03,-0.01,-0.0,31.39,1.205647,73.4335794899561,254.74880178151577,9.97180525281155,0.03162277660168379,0.38185472640220613,0.3678708338093637
3202165,2115.0,1,194254,0.06,-0.2,9.99,-0.03,-0.01,-0.01,31.39,1.283652,180.39407697264932,-494.55192125210476,9.99218194389994,0.033166247903554,0.9384527956042009,-0.7145923388039435
3282160,1743.0,1,194190,0.06,-0.2,10.01,-0.03,-0.01,-0.01,31.39,1.363647,-174.64909661440532,-510.2268457075408,10.012177585320787,0.033166247903554,-0.9091110205035041,-0.7372368231009964
3362159,1881.0,1,194286,0.08,-0.18,10.0,-0.03,-0.01,-0.0,31.39,1.443646,-68.03740788813246,-365.03839519194304,10.001939811856499,0.03162277660168379,-0.35432807263053784,-0.5274930634317928
3442159,1872.0,1,194438,0.06,-0.18,9.98,-0.03,-0.01,-0.01,31.39,1.523646,-60.56467129751273,-179.0613374929776,9.981803444267975,0.033166247903554,-0.31544165328991125,-0.2588248108574824
3522165,1987.0,1,194627,0.05,-0.17,10.0,-0.03,-0.01,-0.0,31.39,1.603652,20.010122569495653,44.746339107813995,10.001569876774346,0.03162277660168379,0.10385122350305807,0.06449473257986689
3602180,1837.0,1,194824,0.07,-0.17,9.98,-0.03,-0.01,-0.0,31.39,1.683667,-115.25621118929507,257.50447684015313,9.98169324313265,0.03162277660168379,-0.600043971172506,0.3718517678655692
3682159,1779.0,1,194999,0.07,-0.18,10.01,-0.03,-0.01,-0.01,31.39,1.763646,-211.35907388114077,450.27376288752123,10.011862963504845,0.033166247903554,-1.1001413816928787,0.6503322851569873
3762160,1879.0,1,195085,0.06,-0.19,10.0,-0.03,-0.01,-0.01,31.39,1.843647,-98.39072766963683,532.4060781527654,10.001984803027847,0.033166247903554,-0.512279835962507,0.7689831870220633
3842160,2196.0,1,194409,0.07,-0.18,9.97,-0.03,-0.01,-0.01,31.39,1.923647,177.51538995069603,-142.92297550556964,9.971870436382535,0.033166247903554,0.9234727639479785,-0.2066182070635307
3922159,2032.0,1,194142,0.07,-0.18,9.97,-0.03,-0.01,-0.01,31.39,2.003646,26.003897565865216,-432.1493003067816,9.971870436382535,0.033166247903554,0.1350414635330308,-0.6244435681282887
4002160,1911.0,1,194239,0.07,-0.18,10.02,-0.03,-0.01,-0.01,31.39,2.083647,-137.19199039426042,-348.9532342473964,10.021861104605271,0.033166247903554,-0.7141927703953267,-0.5042559387196519
4087215,2031.0,1,194433,0.07,-0.18,9.99,-0.03,-0.01,-0.01,31.49,2.168702,-2.9098528227921494,-191.61846224402717,9.991866692465427,0.033166247903554,-0.015419108533017275,-0.27696522455132094
4161160,2018.0,1,194476,0.07,-0.19,9.99,-0.03,-0.01,-0.01,31.49,2.242647,-56.611649980476344,-171.74885748826804,9.992051841338695,0.033166247903554,-0.2948710306361339,-0.24826097438669587
4241160,2082.0,1,194584,0.06,-0.18,9.99,-0.03,-0.01,-0.0,31.49,2.322647,26.09874521343194,-108.63543426022306,9.991801639344128,0.03162277660168379,0.13553502908990875,-0.15708535658490896
4321160,2429.5,1,194870,0.09,-0.2,9.99,-0.03,-0.01,-0.0,31.49,2.402647,336.98315398805596,151.96919552048297,9.992407117406696,0.03162277660168379,1.7533066900431293,0.2193922120047079
4401160,1962.0,1,195147,0.08,-0.17,9.98,-0.03,-0.01,-0.0,31.49,2.482647,-105.12573101019272,383.4793679608119,9.981768380402343,0.03162277660168379,-0.5473272594847186,0.5538390209406816
4481160,2135.0,1,195143,0.08,-0.19,9.99,-0.03,-0.01,-0.0,31.49,2.562647,37.21248604150331,359.63059808105265,9.992126900715382,0.03162277660168379,0.19336840526242338,0.5193863448476271
4561160,2385.0,1,194499,0.09,-0.18,10.0,-0.03,-0.01,-0.0,31.49,2.642647,320.51299657346954,-322.80397049501187,10.002024795010257,0.03162277660168379,1.6675997418504562,-0.46647989749509505
4641160,1968.0,1,194619,0.08,-0.21,9.98,-0.03,-0.01,-0.0,31.49,2.722647,-120.56364443969545,-210.00416488859096,9.982529739499903,0.03162277660168379,-0.627662645067224,-0.3035257834879048
