pat_mean_ms,pat_std_ms,heart_rate_bpm,sdnn,rmssd,ppg_amplitude,pulse_width_ms,accel_motion,gyro_motion,temperature
179.1560000000001,20.84200000000024,76.25540221865093,97.63105876333613,171.20072654109856,3269.567646793702,275.39032499999996,9.952185416863708,0.0366465761061565,32.87590604026845
149.57724999999954,33.046889969973535,107.18662501473811,55.53885459347849,82.95443547514496,2721.3425154020706,195.91996666666674,9.951561662285998,0.0366465761061565,32.95161073825504
110.00024999999947,17.319497861874698,115.44005991339108,0.4308476383834001,0.5744635178445335,2637.411976904954,181.9125875,9.95456454091703,0.037143765849385425,33.06436241610739
104.33859999999981,19.596098383096262,115.416354882208,0.34824867962056083,0.573626911271119,3073.3974308075467,181.94994999999997,9.95476747595469,0.03720591456728904,33.07536912751679
126.09814285714269,39.29345137525649,115.352861657313,0.3477854135495412,0.4037986296825777,3828.1485081881833,182.05010000000001,9.954081387954028,0.03689517097777097,33.02020134228187
128.19920000000025,38.949330404514825,115.27383058301172,0.49575012607183505,0.9916667787118267,3119.2855831868983,182.17491250000012,9.954983833921947,0.03670872482406012,32.938993288590595
119.43733333333383,0.7957375335016723,110.2258748627688,69.08925834136582,83.86805066591248,2614.8872530958774,190.51787999999996,9.954078103711856,0.0370194684135782,32.88637583892618
119.43933333333234,1.1410989829491411,104.16670283566066,53.672115678068984,98.90442358661187,2649.8672184538823,201.59993000000009,9.952007003929,0.03695731969567458,33.039127516778535
106.33333333333184,18.624184032833934,85.34843702626537,135.21592574086566,218.05741753148536,1939.4869222149991,246.0502,9.952053476131528,0.0370194684135782,33.11818791946309
106.78066666666611,18.93801942888587,113.89943249607775,14.86907339356805,17.602778348885963,1495.0537877444046,184.37317499999975,9.952225683984787,0.03677087354196373,33.07
103.1962857142855,19.894929409377053,115.38447670135017,0.7076450270977067,0.9998784926195625,1512.7572142269632,182.0002187499999,9.952808150354572,0.03677087354196373,33.06610738255033
110.33150000000091,17.507598271894658,113.82693752418811,14.712082064299711,24.9913224299962,1858.0330405472184,184.49060000000017,9.95160560653347,0.03683302225986736,33.00865771812081
110.01750000000143,17.32890239599525,102.73976121224686,114.68340772997387,165.71484853732503,3397.8547035512943,204.39993000000024,9.952101378911468,0.0366465761061565,32.95604026845637
88.13760000000315,15.93141129467057,105.63328208945434,78.08584272811494,109.01940701315533,2495.76071021844,198.80098000000027,9.95329231727737,0.03646012995244565,32.846107382550336
112.47360000000128,30.062026203165885,95.719198160277,60.45168278812792,72.46004159672975,3178.204671388703,219.391725,9.952510669296853,0.036397981234542034,32.74530201342282
