timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1949968,1149.5,1,193272.0,238183,0.99,-0.54,9.89,-0.03,-0.01,-0.01,34.39,0.030472,5.227025509299887,59.76587211800218,9.95408458875049,0.033166247903554,0.02669217524993416,0.0926408419041374
1990207,1149.5,1,193436.0,237945,0.99,-0.53,9.93,-0.03,-0.01,-0.01,34.39,0.070711,-39.13553848980408,116.03196834285676,9.9932927506403,0.033166247903554,-0.21722990961670127,0.17680885102963176
2030200,1149.5,1,193373.0,237521,1.04,-0.56,9.9,-0.03,-0.01,-0.01,34.39,0.110704,-76.48467512815431,272.8633526293754,9.970215644608697,0.033166247903554,-0.4225895294299122,0.4114116806099903
2070199,1149.5,1,193292.0,237875,1.02,-0.53,9.94,-0.03,-0.01,-0.01,34.39,0.150703,-126.43958875414883,567.2674972954514,10.006243051215575,0.033166247903554,-0.6972604587574279,0.8518085163138999
2110178,1149.5,1,193777.0,238361,0.99,-0.54,9.92,-0.03,-0.01,-0.01,34.39,0.190682,-159.09963002804102,935.2091361459134,9.983892026659744,0.033166247903554,-0.8768376662317086,1.4022095089943738
2150200,1149.5,1,193736.0,239209,1.0,-0.52,9.9,-0.03,-0.01,-0.01,34.39,0.230704,-207.41098522029583,1234.0429505464347,9.96395503803585,0.033166247903554,-1.1424716922872216,1.8492326526820781
2190199,1248.0,1,194676.0,239928,0.98,-0.53,9.969999999999999,-0.03,-0.01,-0.01,34.39,0.270703,-146.22188458292578,1327.8473114127557,10.032058612268967,0.033166247903554,-0.8060309717084215,1.9895538555225207
2230176,1408.0,1,193751.0,239475,1.01,-0.53,9.92,-0.03,-0.01,-0.0,34.39,0.31068,-19.92637124917184,1180.0975160389048,9.98535928246951,0.03162277660168379,-0.11161067349722162,1.7685361030980526
2270200,1348.0,1,192800.0,238804,0.99,-0.54,9.94,-0.03,-0.01,-0.0,34.39,0.350704,-130.1775553927175,875.3650214523877,10.003764291505473,0.03162277660168379,-0.7178132071436577,1.3126891702898236
2310199,1396.0,1,193034.0,237614,0.99,-0.5,9.96,-0.03,-0.01,-0.0,34.39,0.390703,-100.56003506492392,553.3666928871118,10.021561754537064,0.03162277660168379,-0.5549649257169736,0.8310144127454347
2350197,1754.0,1,192908.0,236578,1.02,-0.52,9.9,-0.03,-0.01,-0.0,34.39,0.430701,208.07854922604278,323.1954143901775,9.965982139257525,0.03162277660168379,1.1420462513660277,0.48670301442953473
2390199,1829.0,1,192829.0,236574,1.02,-0.52,9.95,-0.03,-0.01,-0.0,34.39,0.470703,256.2461758215021,227.8780618112055,10.015652749571542,0.03162277660168379,1.4068900034647418,0.3441185392311114
2430199,1757.0,1,192131.0,237053,1.03,-0.5,9.93,-0.03,-0.01,-0.0,34.39,0.510703,163.97032829018053,254.44027510028593,9.995789113421711,0.03162277660168379,0.8995226404527583,0.38385274438325545
2470199,1711.0,1,192401.0,237799,1.05,-0.52,9.9,-0.03,-0.01,-0.0,34.39,0.550703,63.4240263690721,343.2458951430995,9.969097251005229,0.03162277660168379,0.3466812043553694,0.5166963702905553
2509202,1613.0,1,192485.0,237926,1.05,-0.53,9.93,-0.03,-0.01,-0.0,34.39,0.589706,-21.33017235152076,390.9245199961824,9.999414982887748,0.03162277660168379,-0.119329300662909,0.5880184487885589
2549199,1875.0,1,191960.0,237384,1.06,-0.49,9.9,-0.03,-0.01,-0.01,34.39,0.629703,170.3175193956223,285.5445383386809,9.96863581439306,0.033166247903554,0.9344218876540155,0.4303813661953825
2589174,2017.0,1,192902.0,237063,1.04,-0.52,9.93,-0.03,-0.01,-0.01,34.39,0.669678,341.2022550392396,-16.959053922805396,9.997844767748697,0.033166247903554,1.8740105234893314,-0.022131369221875558
2629178,2177.5,1,190910.0,236677,1.0,-0.54,9.94,-0.03,-0.01,-0.01,34.39,0.709682,427.1121260621173,-435.46210218487437,10.00475886765893,0.033166247903554,2.346375350079321,-0.6481667750620479
2669199,2177.5,1,190737.0,236072,1.01,-0.51,9.94,-0.03,-0.01,-0.01,34.39,0.749703,477.55430828414535,-796.187838225231,10.004189122562607,0.033166247903554,2.623725465664803,-1.1877735556979807
2709215,2043.0,1,191028.0,236056,1.01,-0.53,9.9,-0.03,-0.01,-0.01,34.39,0.789719,239.74426571650443,-945.9169851891274,9.965490454563689,0.033166247903554,1.316156286694581,-1.4117522045391426
2749199,1670.0,1,191097.0,235985,1.02,-0.52,9.94,-0.03,-0.01,-0.0,34.39,0.829703,-27.479699621092703,-854.344228701692,10.005718365015078,0.03162277660168379,-0.15314171764963938,-1.2747692410706999
2789199,1621.0,1,191020.0,235907,1.03,-0.53,9.91,-0.03,-0.01,-0.0,34.39,0.869703,-235.37274802296284,-625.9483167607069,9.977469619096818,0.03162277660168379,-1.2962159952429892,-0.9331135995694377
2829199,1296.0,1,191044.0,236067,1.03,-0.51,9.96,-0.03,-0.01,-0.0,34.39,0.909703,-396.7222510569508,-423.47510686062606,10.026095950069498,0.03162277660168379,-2.1833763309945655,-0.6302355233930736
2869199,1626.0,1,191120.0,236204,1.04,-0.53,9.92,-0.03,-0.01,-0.0,34.39,0.949703,-249.92370473222434,-362.12838931398784,9.988438316373585,0.03162277660168379,-1.3762226354678173,-0.5384674529435066
2909195,1623.0,1,191771.0,236372,1.03,-0.54,9.94,-0.03,-0.01,-0.0,34.39,0.989699,-98.12751956994795,-437.44021891020594,10.00780195647376,0.03162277660168379,-0.5415900393822496,-0.6511258242543652
2949200,1599.0,1,191079.0,236530,1.03,-0.49,9.91,-0.03,-0.01,-0.0,34.39,1.029704,-238.013481751338,-533.1088700115267,9.975424802984582,0.03162277660168379,-1.3107357438448943,-0.7942358041388904
2989888,1581.0,1,190587.0,236698,1.0,-0.51,9.91,-0.03,-0.01,-0.01,34.47,1.070392,-212.1970073740573,-517.1230830406141,9.973374554282016,0.033166247903554,-1.1687870446186825,-0.7703227916158778
3030200,1680.0,1,190846.0,236963,1.02,-0.52,9.93,-0.03,-0.01,-0.01,34.47,1.110704,-71.17215829965374,-359.51392421406604,9.99578411131413,0.033166247903554,-0.39337931108628543,-0.53455649524157
3070200,1663.0,1,191233.0,237237,1.01,-0.53,9.94,-0.03,-0.01,-0.01,34.47,1.150704,-214.68828611143203,-156.31315900671814,10.00522863306981,0.033166247903554,-1.1824850333917534,-0.23059007482506816
3110198,1680.0,1,193557.0,237505,1.02,-0.5,9.93,-0.03,-0.01,-0.01,34.47,1.190702,8.624680197288718,-19.82295605516407,9.994763629020948,0.033166247903554,0.045373760362279615,-0.02641545781134497
