timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1947945,1757,1,200681.0,238881,-0.97,-0.76,9.820000000000002,-0.03,-0.02,-0.01,30.740000000000002,0.030466,-5.640667318163431,117.44045202050812,9.897014701413758,0.03741657386773942,-0.027778857279661177,0.09101029365686665
1988206,1745,1,200607.0,239086,-0.98,-0.79,9.88,-0.03,-0.02,-0.0,30.740000000000002,0.070727,-21.17108861521005,-28.07252617998605,9.95986445690904,0.03605551275463989,-0.12149301419561542,-0.026158692441308962
2028197,1714,1,200581.0,239542,-0.98,-0.79,9.89,-0.03,-0.02,-0.0,30.740000000000002,0.110718,-74.21019561669631,-44.12575786819265,9.969784350726952,0.03605551275463989,-0.4415432627464774,-0.039084968185006744
2068214,1824,1,200756.0,240142,-0.95,-0.78,9.87,-0.03,-0.01,-0.01,30.740000000000002,0.150735,20.43807921972382,122.91598613262563,9.946245522809097,0.033166247903554,0.12958633574879347,0.09541926657596125
2108197,1979,1,201186.0,241381,-0.97,-0.78,9.85,-0.03,0.0,-0.01,30.740000000000002,0.190718,215.00722161732185,421.4526381708935,9.928333193441889,0.03162277660168379,1.3036615776817755,0.3358049508293051
2148179,1632,1,201658.0,242065,-0.99,-0.81,9.89,-0.03,0.0,-0.01,30.740000000000002,0.2307,-255.6599805864325,730.5870925278199,9.972376848073884,0.03162277660168379,-1.5364532652364742,0.5847241265134628
2188178,1515,1,201808.0,242024,-1.02,-0.79,9.91,-0.03,-0.01,-0.01,30.740000000000002,0.270699,-200.62211757630908,930.4511461054706,9.993627969861596,0.033166247903554,-1.2043420602796358,0.7456573216467424
2228197,2319,1,201793.0,242037,-1.01,-0.79,9.92,-0.03,-0.02,-0.0,30.740000000000002,0.310718,361.50934827116976,955.302145144091,10.002529680035947,0.03605551275463989,2.187689320597583,0.7656676767153461
2268197,1635,1,201697.0,241955,-1.01,-0.79,9.92,-0.03,-0.03,-0.0,30.740000000000002,0.350718,-81.98181253538628,801.09656841995,10.002529680035947,0.042426406871192854,-0.4884389981214925,0.6414992946308492
2308197,1666,1,201429.0,241726,-0.95,-0.79,9.86,-0.03,-0.03,-0.01,30.740000000000002,0.390718,-288.0317491347971,504.9694059168063,9.937112256586417,0.04358898943540673,-1.731792009715048,0.40305376340946153
2348197,1744,1,201261.0,241481,-0.98,-0.79,9.91,-0.03,-0.04,-0.01,30.740000000000002,0.430718,-45.375313045865774,132.68538448340345,9.989624617571973,0.05099019513592785,-0.2675469069354599,0.10328571610991727
2388197,1858,1,201193.0,240824,-0.91,-0.77,9.87,-0.03,-0.03,-0.0,30.740000000000002,0.470718,-41.482909539263765,-218.7470100732009,9.941725202398223,0.042426406871192854,-0.24405924320625516,-0.1796923237973953
2428197,2091,1,200564.0,239020,-0.94,-0.78,9.88,-0.03,0.0,-0.0,30.740000000000002,0.510718,213.43082950319717,-435.06366624648365,9.955219736399595,0.03,1.2941492627793945,-0.3538733734426642
2468179,2058,1,200558.0,239432,-0.96,-0.78,9.88,-0.03,0.02,-0.01,30.740000000000002,0.5507,197.66029789992567,-439.93798777422734,9.95712810000956,0.03741657386773942,1.1989862246976102,-0.3577982419896836
2508179,1869,1,201103.0,240508,-0.98,-0.79,9.91,-0.03,0.01,-0.01,30.740000000000002,0.5907,-54.648730913822405,-260.436101021679,9.989624617571973,0.033166247903554,-0.3235048568585677,-0.21326093450274078
2548179,1876,1,201389.0,240643,-0.98,-0.78,9.91,-0.03,-0.01,-0.01,30.740000000000002,0.6307,2.4937131015392553,-35.32201564023977,9.98883877134875,0.033166247903554,0.021305877028934123,-0.031996077809210495
2588196,1926,1,201395.0,241122,-0.96,-0.79,9.93,-0.03,-0.02,-0.0,30.740000000000002,0.670717,12.84733344034717,63.4098687564825,10.007527167087781,0.03605551275463989,0.0837820186944391,0.04750414913540542
2628197,2080,1,201442.0,240938,-0.96,-0.79,9.91,-0.03,-0.01,-0.01,30.740000000000002,0.710718,145.82555480188074,-52.941759246196575,9.987682413853577,0.033166247903554,0.8862033867129043,-0.046183729791532166
2668197,2097,1,201211.0,240225,-0.97,-0.79,9.89,-0.03,-0.03,-0.0,30.740000000000002,0.750718,231.55232671614246,-322.23764633435417,9.968806347803131,0.042426406871192854,1.4034985715253803,-0.2630243610584761
