timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1949971,2770,1,201049.0,225945,-0.825,-0.13,9.855,-0.03,-0.01,-0.01,33.03,0.030477,15.280377421652702,-73.6257578754083,9.89032608158093,0.033166247903554,0.055416234717329836,-0.10483317972388381
1990225,2445,1,200308.0,225248,-0.84,-0.13,9.91,-0.04,-0.01,-0.01,33.03,0.070731,-207.25391272850766,-602.3924136211554,9.94638627844304,0.042426406871192854,-0.6444948378317724,-0.8651323531360139
2030214,2251,1,200320.0,225509,-0.85,-0.13,9.92,-0.04,-0.01,-0.01,33.03,0.11072,-421.7969168815639,-858.4104787045691,9.957198401156823,0.042426406871192854,-1.3192718532901422,-1.2332537563038573
2070222,1890,1,200499.0,226222,-0.83,-0.13,9.9,-0.04,-0.01,-0.01,33.03,0.150728,-608.9117917821432,-740.8572948589594,9.93558251940972,0.042426406871192854,-1.9077823821312685,-1.0642272347965014
2110214,1754,1,200890.0,227558,-0.85,-0.12,9.92,-0.03,-0.01,-0.01,33.03,0.19072,-756.3883302451958,-368.17010959289917,9.957072863045646,0.033166247903554,-2.3716230879472286,-0.5283504811849286
2150216,1883,1,201334.0,228591,-0.84,-0.12,9.93,-0.04,-0.01,-0.01,33.03,0.230722,-575.1973029356994,23.04380161468966,9.96618783688126,0.042426406871192854,-1.8017441440105886,0.03416534708522154
2190214,1890,1,201547.0,228834,-0.86,-0.14,9.92,-0.04,-0.01,-0.01,33.03,0.27072,-373.58270485866586,248.2449227160646,9.958192607094924,0.042426406871192854,-1.1676293319228253,0.3579759057963785
2230216,1722,1,201591.0,229041,-0.83,-0.13,9.94,-0.03,-0.01,-0.01,33.03,0.310722,-764.8788486708983,291.95934488926997,9.975439839926858,0.033166247903554,-2.398327322399463,0.42083168288315875
2270214,1757,1,201678.0,229371,-0.83,-0.13,9.92,-0.03,-0.01,-0.01,33.03,0.35072,-278.8519195651448,293.24978386626844,9.95551103660681,0.033166247903554,-0.8696836737796806,0.42268716994326283
2310219,2983,1,201767.0,229659,-0.84,-0.13,9.92,-0.04,-0.01,-0.01,33.03,0.390725,523.4264850023189,413.50866621358836,9.956349732708269,0.042426406871192854,1.6536287480717768,0.595604141636914
2350214,1609,1,201882.0,230281,-0.83,-0.13,9.91,-0.03,-0.01,-0.01,33.03,0.43072,-341.91870828414477,682.3457662114846,9.945546742135397,0.033166247903554,-1.068040267295033,0.9821576859836986
2390216,1504,1,202231.0,231035,-0.83,-0.13,9.93,-0.04,-0.01,-0.01,33.03,0.470722,-804.3639089997889,939.9858742087048,9.965475402608748,0.042426406871192854,-2.5225150640091347,1.3526113804811961
2430214,1629,1,202412.0,231501,-0.84,-0.14,9.93,-0.04,-0.01,-0.01,33.03,0.51072,-376.16674290498423,935.8891500978641,9.96644871556564,0.042426406871192854,-1.1757566045300536,1.346720812455917
2470216,1707,1,202458.0,230380,-0.83,-0.13,9.91,-0.03,-0.01,-0.01,33.03,0.550722,-406.95284688657597,526.7460798524811,9.945546742135397,0.033166247903554,-1.2725845362740753,0.7584251347034194
2510214,1942,1,201161.0,226400,-0.84,-0.15,9.91,-0.04,-0.01,-0.01,33.03,0.59072,-135.76027273674094,-177.66346421362786,9.946667783735416,0.042426406871192854,-0.41963425471304633,-0.2544261642154716
2550216,1939,1,200301.0,225583,-0.84,-0.15,9.92,-0.03,-0.01,-0.01,33.03,0.630722,-59.648845147801445,-851.8069457503656,9.956630956302439,0.033166247903554,-0.18024988441635217,-1.223758716115289
