timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
2448969,1732,1,200341,232478,0.33,-0.44,9.930000000000001,-0.03,-0.01,-0.0,32.88000000000001,0.030481,4.231568115564981,-17.10321474710244,9.945219957346344,0.03162277660168379,0.12344436496187568,-0.026393172652399752
2489200,1732,1,199290,230616,0.33,-0.47,9.94,-0.03,-0.01,-0.0,32.88000000000001,0.070712,-4.285974231235897,-804.9413494332895,9.956575716580474,0.03162277660168379,-0.1462241393937968,-1.5250243762790727
2529190,1776,1,199045,230303,0.33,-0.45,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.110702,28.100668581687163,-1280.1041224145279,9.975620281466211,0.03162277660168379,0.8791488112605248,-2.4288823225247227
2569194,1797,1,199083,230736,0.31,-0.45,9.99,-0.03,-0.01,-0.0,32.88000000000001,0.150706,42.27716057089692,-1306.8919067986656,10.004933782889319,0.03162277660168379,1.3279817299693162,-2.479838233119331
2609190,1818,1,199324,231430,0.33,-0.44,9.95,-0.03,-0.01,-0.0,32.88000000000001,0.190702,52.360922837818755,-985.4774553499319,9.965189411145177,0.03162277660168379,1.6472373295402787,-1.8684414181765168
2649204,1862,1,199790,232477,0.31,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.230716,86.95530458324177,-565.5853970117205,9.985885038392942,0.03162277660168379,2.7425081018542325,-1.0697198114453013
2689190,1887,1,200052,232871,0.33,-0.46,9.99,-0.03,-0.01,-0.0,32.88000000000001,0.270702,105.40536793111573,-285.4410132349432,10.006028183050455,0.03162277660168379,3.3266438520166375,-0.5368272075402202
2729193,1882,1,199952,232637,0.32,-0.46,9.98,-0.03,-0.01,0.0,32.88000000000001,0.310705,87.4272314589126,-243.0694405466004,9.995719083687776,0.03162277660168379,2.7574494792546274,-0.45622770596521767
2769193,1868,1,199837,232392,0.31,-0.45,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.350705,69.82355291360946,-368.54884168144076,9.984963695477315,0.03162277660168379,2.2001105813443713,-0.694915499401319
2809193,1882,1,199825,232358,0.35,-0.46,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.390705,71.33803167671623,-494.19610186278766,9.976757990449604,0.03162277660168379,2.2480595326141968,-0.9339225954883461
2849189,1869,1,199822,232760,0.32,-0.46,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.430701,52.720942885705455,-467.09110642560944,9.985734825239453,0.03162277660168379,1.6586356958645891,-0.8823632838126122
2888193,1842,1,200017,233285,0.3,-0.46,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.469705,18.65300854353953,-239.50225430275168,9.97512907184664,0.03162277660168379,0.580032440784828,-0.44944217937185355
2928189,1847,1,200306,233624,0.32,-0.47,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.509701,12.998828373111495,104.66367917915068,9.97621671777433,0.03162277660168379,0.40101902965814124,0.20523266363600146
2968193,1873,1,200473,234348,0.33,-0.45,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.549705,37.98249800469319,398.1938859940706,9.975620281466211,0.03162277660168379,1.1920111431749412,0.7635878736374173
3008189,1910,1,200917,235028,0.32,-0.46,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.589701,61.5646612085777,491.75775729436907,9.975750598325924,0.03162277660168379,1.9386310508589266,0.941565723260791
3048193,1902,1,200830,232693,0.32,-0.46,9.98,-0.03,-0.01,-0.0,32.88000000000001,0.629705,54.18795162465566,352.361355652912,9.995719083687776,0.03162277660168379,1.7050817288165698,0.6764049142370251
3088189,1886,1,200179,231356,0.32,-0.46,9.96,-0.03,-0.01,0.0,32.88000000000001,0.669701,27.776792201222843,90.38140626956233,9.975750598325924,0.03162277660168379,0.8688947666594145,0.17806482433161613
3128193,1863,1,200005,231143,0.3,-0.45,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.709705,1.1625660020571174,-114.51153518602665,9.974672926968584,0.03162277660168379,0.02627863614986592,-0.2116839602845373
3168189,1843,1,200095,231401,0.32,-0.45,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.749701,-21.183551739313934,-139.1447338022917,9.985279164850626,0.03162277660168379,-0.6812076203446057,-0.25854140277959076
3208193,1840,1,200404,231971,0.34,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.789705,-35.5661607238862,3.334453445251684,9.986861368818534,0.03162277660168379,-1.136566278474296,0.012483502560371257
3248189,1803,1,200568,232686,0.32,-0.46,9.96,-0.03,-0.01,-0.0,32.88000000000001,0.829701,-65.30242923405375,189.48413731105052,9.975750598325924,0.03162277660168379,-2.078027409837783,0.36657873164908056
3288193,1794,1,200637,233047,0.34,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.869705,-92.78509739836355,287.06533941751684,9.986861368818534,0.03162277660168379,-2.948138730429722,0.5521983759969656
3328189,1789,1,200519,233098,0.33,-0.46,9.99,-0.03,-0.01,-0.0,32.88000000000001,0.909701,-84.23355338835124,246.17824274041837,10.006028183050455,0.03162277660168379,-2.677393720987195,0.4744226550610817
3368193,1793,1,200369,233014,0.32,-0.46,9.97,-0.03,-0.01,-0.0,32.88000000000001,0.949705,-99.69305010641185,117.69619699128516,9.985734825239453,0.03162277660168379,-3.166847038424079,0.23002321006323775
3408189,1759,1,200434,233247,0.32,-0.45,9.95,-0.03,-0.01,-0.0,32.88000000000001,0.989701,-122.79111405613176,3.499477534657094,9.965309829603894,0.03162277660168379,-3.8981401867548464,0.012797412536094295
3448194,1802,1,200466,233675,0.33,-0.44,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.029706,-89.70697266765639,-12.100406955795236,9.995143820876216,0.03162277660168379,-2.850684176222337,-0.01687679672222727
3488876,1838,1,200544,233963,0.34,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.070388,-55.53307731941127,94.3678928007904,9.986861368818534,0.03162277660168379,-1.7687261569552122,0.18564794686085945
3529193,1870,1,200663,234440,0.33,-0.45,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.110705,-17.338399342495276,280.3983691458041,9.995589027165934,0.03162277660168379,-0.5594686898350116,0.5395164185707491
3569190,1929,1,200904,234960,0.31,-0.45,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.150702,26.4330468551263,461.83837790534477,9.994948724230655,0.03162277660168379,0.8263512977851033,0.8846528707706072
3609193,1915,1,201218,235026,0.31,-0.46,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.190705,28.313145870515225,552.9489515749319,9.995403943813377,0.03162277660168379,0.8858759198975993,1.0579640405021375
3649190,1932,1,201062,232728,0.33,-0.46,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.230702,28.928263479394793,505.44500059555844,9.986060284216194,0.03162277660168379,0.9053507682559045,0.9676016930872109
3689193,1932,1,200811,231755,0.34,-0.45,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.270705,39.35053655485065,327.21228368676293,9.995924169380238,0.03162277660168379,1.2353237437703966,0.628566173851938
3729190,1932,1,200711,231463,0.34,-0.45,9.96,-0.03,-0.01,0.0,32.88000000000001,1.310702,35.64720473103408,71.50237382219846,9.97595609453049,0.03162277660168379,1.1180749044456972,0.14215299692157393
3769194,1932,1,200544,231460,0.31,-0.44,9.96,-0.03,-0.01,0.0,32.88000000000001,1.350706,31.766899619194387,-192.81555889608916,9.974532570501738,0.03162277660168379,0.9952230261281801,-0.3606344212166742
3807190,1932,1,200267,231498,0.31,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.388702,41.97155500417814,-409.92863102821167,9.985885038392942,0.03162277660168379,1.3183061460104324,-0.7736284237753982
3847193,1932,1,200171,231776,0.31,-0.47,9.99,-0.03,-0.01,-0.0,32.88000000000001,1.428705,30.59708457341712,-552.1413096133865,10.005853286951593,0.03162277660168379,0.9581862541435944,-1.0441463744759767
3888190,1903,1,200139,231789,0.3,-0.45,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.469702,12.424010916247255,-619.3560041821353,9.984658231506977,0.03162277660168379,0.38282009884468526,-1.1720026360456024
3928193,1932,1,200218,231701,0.31,-0.45,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.509705,38.58585125032317,-625.7404671175304,9.994948724230655,0.03162277660168379,1.211113527492207,-1.1841472060430833
3968190,1932,1,200253,231748,0.32,-0.47,9.96,-0.03,-0.01,0.0,32.88000000000001,1.549702,35.934002268100045,-580.2873864122857,9.97621671777433,0.03162277660168379,1.1271550193103468,-1.0976860383909566
4008193,1898,1,200425,232023,0.32,-0.45,9.930000000000001,-0.03,-0.01,-0.0,32.88000000000001,1.589705,15.15490718666366,-473.64321814147684,9.945340617595761,0.03162277660168379,0.46928127306711526,-0.8948267564914995
4048190,1894,1,200703,232453,0.35,-0.45,9.97,-0.03,-0.01,0.0,32.88000000000001,1.629702,-3.3995216293364074,-284.1857459791339,9.986285595755811,0.03162277660168379,-0.1181587259677967,-0.5344394293969396
4088223,1834,1,201000,233028,0.31,-0.46,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.669735,-44.35724527827739,-6.077965073157984,9.985419370261821,0.03162277660168379,-1.414895229117827,-0.0054208657003767344
4128190,1871,1,201222,233573,0.32,-0.46,9.96,-0.03,-0.01,0.0,32.88000000000001,1.709702,-18.900492553686206,316.5484261230049,9.975750598325924,0.03162277660168379,-0.6089251319370254,0.608281309496592
4168193,1871,1,201490,234158,0.32,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.749705,-7.944483457188499,580.5641013200428,9.98620047866054,0.03162277660168379,-0.2620538788848626,1.110493771266352
4208190,1857,1,201851,234611,0.3,-0.44,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.789702,-23.03597314267558,664.9118852563643,9.994198317023733,0.03162277660168379,-0.7398559591425449,1.2709407151225063
4248193,1904,1,201891,233342,0.33,-0.45,9.98,-0.03,-0.01,0.0,32.88000000000001,1.829705,28.117597452501244,508.78338227219865,9.995589027165934,0.03162277660168379,0.8796847854989831,0.9739519860344055
4288225,1887,1,201185,231822,0.32,-0.47,9.97,-0.03,-0.01,-0.0,32.88000000000001,1.869737,11.957078571344823,169.7439173765745,9.98620047866054,0.03162277660168379,0.3680368501142085,0.3290287473848094
4328193,1842,1,200864,231143,0.33,-0.45,9.99,-0.03,-0.01,0.0,32.88000000000001,1.909705,-24.957861684908035,-194.8309394745171,10.00557344683452,0.03162277660168379,-0.8007036529514038,-0.3644680922323814
4368190,1870,1,200822,231271,0.32,-0.44,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.949702,-1.7144181409281531,-419.6562629338536,9.994818657684592,0.03162277660168379,-0.06480773352168852,-0.7921323931434159
4408193,1855,1,200857,231776,0.32,-0.46,9.98,-0.03,-0.01,-0.0,32.88000000000001,1.989705,-4.165975507686763,-429.18838763250557,9.995719083687776,0.03162277660168379,-0.14242493593973488,-0.8102644673364866
4448190,1863,1,201051,232450,0.34,-0.47,9.98,-0.03,-0.01,0.0,32.88000000000001,2.029702,-0.26131865335283827,-270.26396687599254,9.996844502141665,0.03162277660168379,-0.01880207255287549,-0.5079573239295825
4488193,1857,1,201306,232983,0.32,-0.45,9.97,-0.03,-0.01,-0.0,32.88000000000001,2.069705,0.792102334297701,-64.91205801609244,9.985279164850626,0.03162277660168379,0.01454962100263614,-0.11733548831060832
4528876,1847,1,201332,233066,0.33,-0.45,9.97,-0.03,-0.01,-0.0,32.75,2.110388,-3.9655449498138076,74.25255462499621,9.985604638678621,0.03162277660168379,-0.13607923120847823,0.1473844100573819
4567193,1860,1,201484,233409,0.33,-0.47,9.96,-0.03,-0.01,-0.0,32.75,2.148705,6.869765947206919,108.77439248222912,9.976542487254791,0.03162277660168379,0.20697067272604788,0.2130520911985051
4607190,1845,1,201519,233780,0.32,-0.47,9.96,-0.03,-0.01,-0.0,32.75,2.188702,3.603020993323292,85.52937969471726,9.97621671777433,0.03162277660168379,0.1035443333012593,0.1688352654847535
4647193,1867,1,201606,234243,0.34,-0.44,9.97,-0.03,-0.01,-0.0,32.75,2.228705,21.8472563865256,94.40503829202312,9.985494479493743,0.03162277660168379,0.6811634951766992,0.18571860527378023
