timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1935485,2071,1,196357,232586,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965957,1856,1,195323,229639,0.21,-0.28,9.75,-0.04,-0.02,-0.01,34.85
2006197,2073,1,194723,228596,0.18,-0.28,10.01,-0.04,-0.03,-0.01,34.85
2046187,1897,1,194555,228547,0.22,-0.25,9.98,-0.03,-0.02,-0.01,34.85
2086214,1835,1,194634,228931,0.24,-0.26,10.04,-0.04,-0.02,-0.00,34.85
2126187,1845,1,194803,229663,0.24,-0.25,9.93,-0.03,-0.01,-0.00,34.85
2166190,1774,1,195077,230390,0.22,-0.28,9.99,-0.04,-0.00,-0.01,34.85
2206187,1799,1,195192,230419,0.20,-0.27,10.00,-0.03,-0.01,-0.00,34.85
2246190,1957,1,195150,230194,0.21,-0.26,10.00,-0.03,-0.02,-0.00,34.85
2286187,1810,1,195154,230087,0.23,-0.28,9.96,-0.03,-0.02,-0.00,34.85
2326190,1650,1,195161,230237,0.25,-0.28,9.95,-0.03,-0.01,-0.00,34.85
2366187,1629,1,195178,230408,0.23,-0.27,10.01,-0.03,-0.01,-0.00,34.85
2406190,2093,1,195313,230819,0.21,-0.25,9.98,-0.03,-0.01,-0.00,34.85
2446187,1601,1,195453,231087,0.24,-0.27,9.99,-0.03,-0.01,-0.00,34.85
2486190,1427,1,195531,231437,0.22,-0.28,10.01,-0.03,-0.01,-0.01,34.85
2526194,1616,1,195749,232042,0.19,-0.27,10.03,-0.03,-0.01,-0.00,34.85
2566190,1774,1,195779,230872,0.23,-0.28,10.00,-0.03,-0.01,-0.00,34.85
2606186,1820,1,194989,228419,0.23,-0.28,9.99,-0.03,-0.00,-0.00,34.85
2646190,1776,1,194406,227436,0.20,-0.25,9.99,-0.03,-0.01,-0.00,34.85
2686186,1586,1,194240,227302,0.22,-0.26,9.98,-0.03,-0.02,-0.00,34.85
2726189,1535,1,194285,227183,0.24,-0.27,9.97,-0.03,-0.01,-0.00,34.85
2766220,1681,1,194291,227391,0.21,-0.26,9.98,-0.03,-0.03,-0.01,34.85
2806190,1627,1,194399,227772,0.27,-0.27,9.95,-0.03,0.01,-0.01,34.85
2846169,1638,1,194482,228092,0.22,-0.27,9.99,-0.03,-0.00,-0.00,34.85
2886190,1734,1,194576,228435,0.22,-0.27,9.98,-0.03,-0.01,-0.01,34.85
2926187,1872,1,194705,228995,0.21,-0.28,9.97,-0.04,0.01,-0.00,34.85
2966186,1618,1,194881,229640,0.21,-0.28,9.99,-0.03,-0.01,-0.00,34.85
3006873,1584,1,195060,230142,0.24,-0.27,9.97,-0.03,-0.02,-0.00,34.81
3045190,3575,1,195186,230625,0.24,-0.26,10.00,-0.03,-0.01,-0.00,34.81
3085186,1531,1,195317,231088,0.25,-0.26,9.95,-0.03,-0.01,-0.00,34.81
3125190,1478,1,195434,231477,0.22,-0.26,9.98,-0.03,0.00,-0.00,34.81
3165167,1535,1,195497,231681,0.22,-0.25,9.98,-0.03,0.00,-0.00,34.81
3206170,1681,1,195418,230795,0.20,-0.26,9.97,-0.03,-0.00,-0.00,34.81
3246186,1792,1,194615,227788,0.20,-0.26,9.98,-0.03,-0.01,-0.00,34.81
3286190,1921,1,193762,225589,0.19,-0.25,9.99,-0.03,-0.00,-0.01,34.81
3326187,1761,1,193112,224594,0.19,-0.27,9.99,-0.03,-0.02,-0.00,34.81
3366190,1606,1,193042,224694,0.23,-0.26,9.98,-0.03,0.00,-0.00,34.81
3406167,1585,1,193012,223900,0.19,-0.28,9.97,-0.03,-0.00,-0.01,34.81
3446190,1488,1,192792,224087,0.21,-0.26,9.97,-0.03,0.00,-0.00,34.81
3486167,1469,1,193203,223172,0.18,-0.23,10.01,-0.03,-0.00,-0.00,34.81
3526195,1462,1,192093,218319,0.19,-0.26,10.01,-0.03,-0.02,-0.00,34.81
3564186,1616,1,189436,211964,0.18,-0.28,9.98,-0.03,-0.03,-0.00,34.81
3604189,1522,1,188387,211825,0.20,-0.26,9.99,-0.03,-0.03,-0.00,34.81
3644186,1332,1,188808,212136,0.23,-0.25,9.95,-0.03,-0.02,-0.00,34.81
3684190,1066,1,188798,212332,0.23,-0.25,9.98,-0.03,-0.01,-0.00,34.81
3724186,2559,1,189273,215079,0.21,-0.26,9.98,-0.04,-0.01,-0.00,34.81
3764190,1291,1,190765,218982,0.21,-0.28,9.97,-0.04,-0.01,-0.00,34.81
3804187,1393,1,192018,222215,0.21,-0.26,9.96,-0.04,-0.00,-0.01,34.81
3844189,1436,1,193130,224588,0.22,-0.24,9.99,-0.04,0.00,-0.01,34.81
3884167,1630,1,193641,224365,0.17,-0.28,10.01,-0.04,-0.02,-0.01,34.81
3924190,1799,1,192799,221520,0.21,-0.27,9.97,-0.04,-0.02,-0.01,34.81
3964187,1865,1,192013,220458,0.22,-0.27,9.98,-0.04,-0.01,-0.01,34.81
4004190,1648,1,192011,220177,0.21,-0.25,10.00,-0.03,-0.03,-0.01,34.81
4044873,1488,1,191864,219792,0.22,-0.27,9.97,-0.03,-0.03,-0.00,34.47
4085198,1556,1,192006,221011,0.25,-0.27,9.96,-0.04,-0.00,-0.01,34.47
4125187,1629,1,192628,223401,0.21,-0.25,9.99,-0.04,-0.00,-0.01,34.47
4165190,1642,1,193323,224649,0.21,-0.27,10.01,-0.04,-0.00,-0.01,34.47
4204187,1675,1,193545,225317,0.21,-0.28,9.99,-0.03,-0.00,-0.00,34.47
4244189,1761,1,193621,225720,0.21,-0.26,10.00,-0.03,-0.01,-0.00,34.47
4284185,1937,1,193832,226168,0.21,-0.25,9.97,-0.03,-0.01,-0.00,34.47
4324189,1705,1,193971,226710,0.23,-0.27,9.98,-0.03,-0.01,-0.00,34.47
4364186,1699,1,194177,227442,0.21,-0.27,9.98,-0.03,-0.01,-0.01,34.47
4404197,3829,1,194472,228175,0.22,-0.25,9.96,-0.03,-0.01,-0.00,34.47
4444186,1720,1,194678,228468,0.22,-0.26,9.97,-0.03,-0.02,-0.00,34.47
