timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1918485,1702,1,198200,231532,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948951,1730,1,198282,231875,0.18,-0.41,9.71,-0.03,-0.01,-0.01,30.51
1989197,1865,1,198387,232426,0.20,-0.39,9.98,-0.03,-0.02,-0.01,30.51
2029185,1895,1,198604,232632,0.20,-0.39,9.97,-0.03,-0.01,-0.00,30.51
2069211,1931,1,198556,232374,0.21,-0.40,9.99,-0.03,-0.01,-0.00,30.51
2109184,2003,1,198370,232173,0.22,-0.42,9.97,-0.03,-0.01,-0.01,30.51
2149186,2009,1,198409,232585,0.20,-0.40,9.95,-0.03,-0.01,-0.00,30.51
2189183,2022,1,198771,233506,0.23,-0.39,10.00,-0.03,-0.01,-0.01,30.51
2229185,2030,1,199070,234421,0.22,-0.40,9.96,-0.03,-0.01,-0.00,30.51
2269203,2053,1,199390,235285,0.18,-0.42,9.96,-0.03,-0.01,-0.00,30.51
2309185,2064,1,199727,235973,0.24,-0.37,10.01,-0.03,-0.01,-0.01,30.51
2349185,2078,1,199960,236265,0.21,-0.41,9.97,-0.03,-0.01,-0.00,30.51
2389184,2075,1,199935,236357,0.19,-0.40,9.98,-0.03,-0.01,-0.00,30.51
2429183,2081,1,200071,236566,0.19,-0.39,9.96,-0.03,-0.01,-0.00,30.51
2469185,2106,1,200153,236631,0.24,-0.40,9.95,-0.03,-0.01,-0.00,30.51
2509183,2085,1,199646,233494,0.22,-0.39,9.97,-0.03,-0.01,-0.01,30.51
2549185,2087,1,198677,231935,0.21,-0.40,9.98,-0.03,-0.01,-0.00,30.51
2589185,2087,1,198543,231964,0.21,-0.41,9.98,-0.03,-0.01,-0.00,30.51
2629185,2076,1,198644,232495,0.22,-0.39,9.98,-0.03,-0.01,-0.00,30.51
2669184,2069,1,198916,233049,0.21,-0.42,9.96,-0.03,-0.01,-0.01,30.51
2709185,2037,1,199110,233640,0.23,-0.41,9.99,-0.03,-0.01,-0.00,30.51
2749184,2117,1,199164,233861,0.22,-0.39,9.98,-0.03,-0.01,-0.00,30.51
2789185,2069,1,199208,233782,0.22,-0.40,9.94,-0.03,-0.01,-0.01,30.51
2829184,2069,1,199117,234081,0.22,-0.40,9.96,-0.03,-0.01,-0.01,30.51
2869185,2047,1,199250,234664,0.22,-0.39,9.98,-0.03,-0.01,-0.00,30.51
2909184,2073,1,199466,235279,0.21,-0.40,10.01,-0.03,-0.01,-0.01,30.51
2949184,2096,1,199644,235750,0.21,-0.40,9.97,-0.03,-0.01,-0.00,30.51
2989869,2041,1,199800,236151,0.22,-0.40,9.96,-0.03,-0.02,-0.00,30.37
3028184,2063,1,199962,236603,0.23,-0.38,9.97,-0.03,-0.01,-0.00,30.37
3068184,2061,1,200148,237055,0.19,-0.39,9.97,-0.03,-0.01,-0.01,30.37
3108185,2046,1,200265,237353,0.23,-0.39,9.96,-0.03,-0.01,-0.00,30.37
3148185,2098,1,200279,237247,0.22,-0.42,9.97,-0.03,-0.01,-0.00,30.37
3188184,2084,1,200245,237310,0.21,-0.39,9.98,-0.03,-0.01,-0.01,30.37
3228184,2096,1,200078,235084,0.23,-0.38,9.98,-0.03,-0.01,-0.01,30.37
3268185,2078,1,198893,232251,0.23,-0.41,9.98,-0.03,-0.01,-0.00,30.37
3308184,2071,1,198485,231821,0.21,-0.39,9.98,-0.03,-0.01,-0.00,30.37
3348185,2061,1,198525,232173,0.20,-0.39,10.00,-0.03,-0.01,-0.00,30.37
3388183,2064,1,198689,232655,0.23,-0.40,10.00,-0.03,-0.01,-0.01,30.37
3428184,2069,1,198838,233214,0.21,-0.39,9.97,-0.03,-0.01,-0.01,30.37
3468184,2059,1,199116,233870,0.21,-0.39,10.00,-0.03,-0.01,-0.00,30.37
3508196,2017,1,199125,233972,0.21,-0.38,9.99,-0.03,-0.02,-0.00,30.37
3548185,2036,1,199256,234191,0.22,-0.39,10.00,-0.03,-0.01,-0.00,30.37
3588185,2025,1,199391,234612,0.21,-0.39,9.98,-0.03,-0.01,-0.00,30.37
3628184,2031,1,199605,235208,0.23,-0.39,9.98,-0.03,-0.01,-0.00,30.37
3668185,2033,1,199752,235881,0.20,-0.41,9.99,-0.03,-0.01,-0.00,30.37
3708183,2018,1,199873,236354,0.22,-0.40,9.98,-0.03,-0.01,-0.00,30.37
3748184,2001,1,200012,236605,0.21,-0.40,9.98,-0.03,-0.01,-0.00,30.37
3788183,1997,1,200042,236861,0.22,-0.39,10.00,-0.03,-0.01,-0.01,30.37
3828184,2011,1,200168,237134,0.22,-0.39,9.98,-0.03,-0.01,-0.01,30.37
3868184,1947,1,200237,237389,0.22,-0.40,10.00,-0.03,-0.01,-0.00,30.37
3908185,1960,1,200178,237307,0.22,-0.40,9.98,-0.03,-0.01,-0.00,30.37
3948183,1974,1,200114,235412,0.20,-0.40,9.96,-0.03,-0.01,-0.00,30.37
3988184,2032,1,198813,231963,0.23,-0.40,9.97,-0.03,-0.01,-0.00,30.37
4028870,2016,1,198089,230918,0.21,-0.42,10.01,-0.03,-0.01,-0.01,30.43
4067185,2042,1,198027,230979,0.22,-0.40,9.98,-0.03,-0.01,-0.00,30.43
4107183,2081,1,198044,231253,0.20,-0.40,10.00,-0.03,-0.01,-0.01,30.43
4147184,2087,1,198310,232075,0.20,-0.40,9.97,-0.03,-0.01,-0.01,30.43
4187184,2102,1,198619,233196,0.23,-0.39,9.98,-0.03,-0.01,-0.00,30.43
4227185,2112,1,198992,233844,0.22,-0.41,9.99,-0.03,-0.01,-0.01,30.43
4267184,2142,1,199113,233977,0.22,-0.40,9.97,-0.03,-0.01,-0.00,30.43
4307184,2160,1,199072,234124,0.23,-0.39,9.99,-0.03,-0.01,-0.00,30.43
4347184,2161,1,199116,234550,0.18,-0.39,9.98,-0.03,-0.01,-0.01,30.43
4387185,2158,1,199391,235044,0.21,-0.41,9.96,-0.03,-0.01,-0.00,30.43
4427185,2160,1,199598,235759,0.22,-0.41,9.97,-0.03,-0.02,-0.00,30.43
4467185,2148,1,199809,236395,0.23,-0.39,9.98,-0.03,-0.02,-0.00,30.43
4507184,2101,1,199981,236836,0.24,-0.41,9.96,-0.03,-0.01,-0.00,30.43
4547185,2085,1,200059,237139,0.23,-0.38,9.99,-0.03,-0.01,-0.01,30.43
4587184,2027,1,200363,237642,0.23,-0.39,9.98,-0.03,-0.01,-0.00,30.43
4627185,2025,1,200095,234964,0.23,-0.39,9.99,-0.03,-0.01,-0.01,30.43
4667184,2015,1,198922,232319,0.23,-0.41,9.99,-0.03,-0.01,-0.00,30.43
4707185,2003,1,198474,231938,0.22,-0.40,9.97,-0.03,-0.01,-0.00,30.43
4747184,1968,1,198629,232563,0.22,-0.40,9.97,-0.03,-0.02,-0.00,30.43
4787184,1967,1,198821,233634,0.24,-0.40,9.95,-0.03,-0.01,-0.00,30.43
4827184,2077,1,199351,235405,0.25,-0.39,9.99,-0.03,-0.01,-0.01,30.43
4867185,2597,1,199873,236749,0.22,-0.39,9.93,-0.02,-0.01,0.00,30.43
4907164,2726,1,200259,237855,0.12,-0.40,10.14,-0.05,-0.02,-0.01,30.43
4947185,2673,1,200659,239118,0.28,-0.37,9.93,-0.03,0.02,-0.00,30.43
4987169,2490,1,201324,240455,0.24,-0.43,9.92,-0.03,-0.00,-0.01,30.43
5027185,2349,1,201842,241206,0.19,-0.42,10.03,-0.04,0.01,-0.01,30.43
5067855,2211,1,201984,241354,0.22,-0.40,10.00,-0.03,-0.01,-0.01,30.47
5108184,2081,1,201883,241101,0.20,-0.42,10.03,-0.03,-0.03,-0.00,30.47
5148184,1974,1,201728,241071,0.23,-0.39,9.96,-0.03,-0.02,-0.00,30.47
5188185,1843,1,201743,241350,0.21,-0.41,9.99,-0.03,-0.01,-0.00,30.47
5228184,1739,1,201922,241811,0.23,-0.39,10.00,-0.03,-0.01,-0.00,30.47
5268185,1710,1,202116,241346,0.22,-0.37,9.99,-0.03,-0.00,-0.01,30.47
5308185,1659,1,201328,238086,0.21,-0.40,9.97,-0.03,-0.01,-0.01,30.47
5348201,1602,1,200621,237108,0.21,-0.40,10.02,-0.03,-0.01,-0.01,30.47
5388185,1600,1,200624,237400,0.21,-0.39,9.98,-0.03,-0.01,-0.01,30.47
5428186,1582,1,200799,238031,0.20,-0.40,9.99,-0.03,-0.01,-0.00,30.47
5468187,1568,1,200961,238697,0.22,-0.39,9.97,-0.03,-0.01,-0.00,30.47
