timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1927481,1648,1,192453,223637,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957947,1685,1,192444,223866,-1.00,-0.77,9.64,-0.03,-0.01,-0.00,30.45
1998208,1827,1,192471,224170,-1.03,-0.76,9.84,-0.03,-0.01,-0.00,30.45
2038199,1939,1,192620,224060,-1.04,-0.77,9.90,-0.03,-0.01,-0.00,30.45
2078209,2113,1,192237,221849,-1.03,-0.77,9.90,-0.03,-0.01,-0.00,30.45
2118206,2192,1,191520,220161,-1.02,-0.79,9.89,-0.03,-0.01,-0.00,30.45
2158199,1939,1,191264,219982,-1.05,-0.77,9.86,-0.03,-0.01,-0.01,30.45
2198199,1829,1,191359,220408,-1.02,-0.78,9.88,-0.03,-0.01,-0.00,30.45
2238199,1843,1,191428,221015,-1.02,-0.77,9.91,-0.03,-0.01,-0.00,30.45
2278199,1841,1,191605,221725,-1.03,-0.77,9.88,-0.03,-0.01,-0.00,30.45
2318220,1819,1,191805,221871,-1.05,-0.77,9.88,-0.03,-0.01,-0.00,30.45
2358199,1931,1,191793,221849,-1.04,-0.77,9.88,-0.03,-0.00,-0.00,30.45
2398199,2017,1,191669,221649,-1.03,-0.76,9.89,-0.03,-0.01,-0.01,30.45
2438199,1783,1,191555,221335,-1.03,-0.78,9.87,-0.03,-0.01,-0.00,30.45
2478199,1616,1,191358,221269,-1.04,-0.76,9.89,-0.04,-0.00,-0.01,30.45
2518222,2494,1,191528,221826,-1.03,-0.78,9.86,-0.03,-0.01,-0.00,30.45
2557199,1652,1,191689,222519,-1.04,-0.78,9.90,-0.03,-0.01,-0.00,30.45
2597199,1702,1,191951,223071,-1.03,-0.78,9.90,-0.03,-0.01,-0.01,30.45
2637200,1823,1,192115,223536,-1.04,-0.77,9.86,-0.03,-0.01,-0.00,30.45
2677199,1989,1,192143,222222,-1.04,-0.78,9.90,-0.03,-0.01,-0.00,30.45
2717200,2158,1,191325,219678,-1.04,-0.76,9.89,-0.03,-0.01,-0.00,30.45
2757199,2128,1,190802,218611,-1.05,-0.78,9.89,-0.03,-0.01,-0.00,30.45
2797199,1867,1,190758,218862,-1.03,-0.79,9.90,-0.03,-0.01,-0.01,30.45
2837206,1840,1,190892,219472,-1.02,-0.77,9.90,-0.03,-0.01,-0.00,30.45
2877199,1812,1,191114,220022,-1.05,-0.77,9.88,-0.03,-0.01,-0.00,30.45
2917199,1795,1,191326,220621,-1.04,-0.79,9.91,-0.03,-0.01,-0.00,30.45
2957199,1829,1,191539,220943,-1.05,-0.76,9.89,-0.03,-0.02,-0.00,30.45
2997884,2037,1,191623,221131,-1.02,-0.78,9.88,-0.03,-0.01,-0.00,30.23
3038235,1758,1,191679,221468,-1.02,-0.77,9.90,-0.03,-0.01,-0.01,30.23
3078216,1706,1,191910,221964,-1.03,-0.77,9.90,-0.03,-0.01,-0.00,30.23
3118200,3921,1,192050,222509,-1.04,-0.78,9.90,-0.03,-0.01,-0.00,30.23
3158199,1657,1,192268,223364,-1.03,-0.78,9.89,-0.03,-0.02,-0.01,30.23
3198199,1604,1,192574,224277,-1.04,-0.79,9.87,-0.03,-0.01,-0.00,30.23
3238199,1678,1,192939,225315,-1.02,-0.77,9.91,-0.03,-0.01,-0.01,30.23
3278199,1819,1,193324,225942,-1.04,-0.81,9.88,-0.03,-0.01,-0.01,30.23
3318199,1983,1,192813,223647,-1.02,-0.75,9.90,-0.04,-0.02,-0.01,30.23
3358200,2057,1,192312,223124,-1.05,-0.78,9.92,-0.03,-0.02,-0.00,30.23
3398199,1858,1,192450,223528,-1.02,-0.77,9.87,-0.03,-0.03,-0.00,30.23
3438199,1679,1,192572,224119,-1.05,-0.78,9.92,-0.03,-0.02,-0.00,30.23
3478199,1686,1,192806,224953,-1.00,-0.77,9.88,-0.03,-0.02,-0.01,30.23
3518200,1676,1,193177,226005,-1.02,-0.75,9.90,-0.03,-0.02,-0.01,30.23
3557212,1685,1,193334,226130,-1.00,-0.77,9.88,-0.03,-0.03,-0.00,30.23
3597199,1933,1,193259,225786,-1.03,-0.76,9.86,-0.03,-0.03,-0.00,30.23
3637199,1726,1,193161,225683,-0.95,-0.75,9.89,-0.03,-0.04,-0.00,30.23
3677199,1635,1,193203,225843,-0.96,-0.76,9.89,-0.04,-0.00,-0.01,30.23
3717199,2948,1,193206,225762,-1.03,-0.77,9.89,-0.03,0.01,-0.01,30.23
3757192,1525,1,193173,225733,-1.01,-0.79,9.91,-0.03,-0.00,-0.01,30.23
3797199,1569,1,193190,225924,-0.96,-0.78,9.89,-0.03,-0.00,-0.01,30.23
3837199,1683,1,193314,226231,-1.02,-0.77,9.91,-0.03,0.00,-0.00,30.23
3877180,1775,1,193414,226386,-1.01,-0.80,9.88,-0.03,-0.01,-0.00,30.23
3917200,1954,1,193007,224042,-0.97,-0.75,9.87,-0.03,-0.01,-0.00,30.23
3957231,2023,1,192218,222266,-1.01,-0.77,9.88,-0.03,-0.01,-0.01,30.23
3997885,1904,1,191757,221828,-1.04,-0.79,9.91,-0.04,0.00,-0.01,30.73
4038179,1742,1,191768,222012,-0.99,-0.74,9.89,-0.03,-0.01,-0.00,30.73
4078199,1751,1,191984,222579,-0.99,-0.77,9.92,-0.04,-0.01,-0.01,30.73
4118199,1803,1,192192,223373,-1.02,-0.79,9.89,-0.04,-0.00,-0.01,30.73
4158204,1840,1,192343,223800,-1.03,-0.75,9.92,-0.03,-0.00,-0.01,30.73
4198199,2042,1,192385,223739,-1.01,-0.80,9.90,-0.03,-0.01,-0.00,30.73
4238199,1762,1,192363,223710,-1.02,-0.78,9.88,-0.03,-0.02,-0.00,30.73
4278199,1702,1,192428,223961,-1.01,-0.77,9.90,-0.03,-0.01,-0.00,30.73
4316200,4095,1,192589,224323,-1.01,-0.76,9.90,-0.03,-0.01,-0.00,30.73
4356199,1621,1,192657,224971,-1.02,-0.78,9.88,-0.03,-0.01,-0.00,30.73
4396199,1648,1,192943,225470,-1.03,-0.79,9.89,-0.03,-0.02,-0.01,30.73
4436198,1745,1,193283,226208,-1.02,-0.75,9.91,-0.03,-0.04,-0.00,30.73
4476199,1947,1,193388,225510,-0.98,-0.77,9.88,-0.03,-0.00,-0.00,30.73
4516199,2107,1,192677,223295,-1.00,-0.81,9.90,-0.03,-0.01,-0.00,30.73
4556199,2103,1,192175,222300,-1.00,-0.75,9.90,-0.03,-0.02,-0.00,30.73
4596199,1904,1,192071,222365,-1.00,-0.77,9.90,-0.03,-0.01,-0.00,30.73
4636200,1808,1,192182,222666,-1.00,-0.78,9.90,-0.03,-0.01,-0.00,30.73
4676199,1815,1,192448,223351,-1.00,-0.78,9.89,-0.03,-0.03,-0.00,30.73
4716200,1792,1,192711,223914,-0.97,-0.77,9.89,-0.03,-0.02,-0.00,30.73
4756199,1904,1,192745,224236,-1.00,-0.78,9.91,-0.03,-0.02,-0.00,30.73
4796199,1984,1,192856,224209,-0.99,-0.77,9.88,-0.03,-0.01,-0.00,30.73
4836199,1755,1,192885,224577,-0.97,-0.79,9.89,-0.03,-0.01,-0.00,30.73
4876199,1654,1,193016,224980,-1.00,-0.77,9.89,-0.03,-0.01,-0.01,30.73
4916199,2035,1,193204,225331,-0.98,-0.78,9.87,-0.03,-0.00,-0.00,30.73
4956199,1609,1,193361,225819,-0.98,-0.76,9.90,-0.03,-0.01,-0.00,30.73
4996199,1681,1,193526,226474,-1.00,-0.78,9.92,-0.03,-0.01,-0.01,30.73
5036885,1790,1,193631,226778,-1.01,-0.76,9.90,-0.03,-0.01,-0.00,30.43
5077199,1960,1,193384,224823,-0.98,-0.78,9.90,-0.03,-0.01,-0.00,30.43
5117200,2075,1,192620,223067,-1.01,-0.79,9.90,-0.03,-0.01,-0.00,30.43
5157199,2001,1,192239,222494,-0.99,-0.77,9.91,-0.03,-0.01,-0.00,30.43
5197199,1759,1,192238,222615,-1.00,-0.77,9.91,-0.03,-0.01,-0.01,30.43
5237199,1770,1,192254,223030,-0.99,-0.76,9.89,-0.03,-0.01,-0.01,30.43
5277199,1745,1,192448,223697,-1.02,-0.78,9.91,-0.03,-0.01,-0.01,30.43
5317199,1790,1,192633,224197,-0.97,-0.78,9.90,-0.03,-0.01,-0.01,30.43
5357200,2005,1,192666,224281,-1.00,-0.77,9.89,-0.03,-0.00,-0.01,30.43
5397199,1697,1,192671,224403,-1.02,-0.78,9.90,-0.03,-0.01,-0.00,30.43
5437200,1693,1,192811,224628,-0.97,-0.77,9.89,-0.03,-0.01,-0.01,30.43
5477199,4095,1,192917,224874,-0.99,-0.77,9.89,-0.03,-0.01,-0.01,30.43
5517199,1603,1,192946,225159,-0.99,-0.79,9.90,-0.03,-0.01,-0.00,30.43
5557199,1582,1,193019,225631,-1.00,-0.76,9.88,-0.03,-0.02,-0.00,30.43
5597214,1677,1,193189,226124,-0.99,-0.78,9.88,-0.03,-0.01,-0.00,30.43
5637199,1815,1,193318,225768,-0.99,-0.77,9.90,-0.03,-0.01,-0.01,30.43
5677200,1995,1,192846,223654,-1.02,-0.76,9.90,-0.03,-0.01,-0.00,30.43
5717199,2031,1,192262,222590,-1.00,-0.75,9.89,-0.03,-0.01,-0.00,30.43
5757199,1804,1,192138,222557,-0.98,-0.77,9.89,-0.03,-0.01,-0.01,30.43
5797199,1731,1,192261,222968,-1.01,-0.78,9.89,-0.03,-0.01,-0.00,30.43
5837199,1744,1,192367,223531,-0.97,-0.77,9.87,-0.03,-0.01,-0.00,30.43
5877199,1735,1,192653,223991,-0.98,-0.76,9.88,-0.03,-0.01,-0.01,30.43
5917199,1808,1,192621,224304,-1.00,-0.78,9.90,-0.03,-0.01,-0.01,30.43
5957199,2038,1,192735,224480,-0.96,-0.75,9.87,-0.03,-0.01,-0.00,30.43
5997199,1703,1,192809,224447,-1.00,-0.78,9.90,-0.03,-0.00,-0.00,30.43
6037885,1675,1,192761,224812,-1.01,-0.76,9.90,-0.03,-0.01,-0.01,30.67
6076199,4095,1,192881,225120,-0.97,-0.77,9.89,-0.03,-0.01,-0.01,30.67
6116199,1611,1,192954,225449,-1.00,-0.78,9.92,-0.03,-0.01,-0.01,30.67
6156199,1626,1,193123,225702,-0.98,-0.77,9.88,-0.03,-0.00,-0.00,30.67
6196199,1723,1,193226,225998,-0.98,-0.77,9.93,-0.03,-0.01,-0.00,30.67
6236199,1863,1,193204,225522,-0.97,-0.78,9.91,-0.03,-0.01,-0.01,30.67
6276199,1994,1,192672,223436,-1.00,-0.77,9.91,-0.03,-0.01,-0.00,30.67
6316200,2064,1,192142,222410,-0.99,-0.77,9.90,-0.03,-0.01,-0.00,30.67
6356199,1821,1,192109,222387,-0.99,-0.78,9.90,-0.03,-0.01,-0.01,30.67
6396199,1750,1,192173,222632,-0.99,-0.78,9.88,-0.03,-0.01,-0.00,30.67
6436199,1790,1,192333,223245,-1.02,-0.77,9.87,-0.03,-0.01,-0.01,30.67
6476199,1787,1,192504,223594,-0.99,-0.78,9.91,-0.03,-0.01,-0.01,30.67
6516199,1857,1,192499,223596,-0.99,-0.78,9.91,-0.03,-0.01,-0.00,30.67
6556199,1951,1,192537,223680,-0.99,-0.76,9.89,-0.03,-0.01,-0.01,30.67
6596199,1702,1,192504,223876,-0.97,-0.77,9.89,-0.03,-0.01,-0.00,30.67
6636199,1527,1,192657,224061,-1.00,-0.77,9.89,-0.03,-0.01,-0.00,30.67
6676199,2861,1,192761,224326,-0.98,-0.78,9.90,-0.03,-0.01,-0.01,30.67
6716199,1600,1,192824,224614,-1.00,-0.77,9.87,-0.03,-0.01,-0.01,30.67
6756199,1695,1,192864,224939,-1.00,-0.76,9.91,-0.03,-0.01,-0.01,30.67
6796199,1777,1,193009,225288,-0.99,-0.78,9.88,-0.03,-0.01,-0.00,30.67
6836199,1924,1,193028,224312,-1.02,-0.77,9.88,-0.03,-0.01,-0.00,30.67
6876199,2045,1,192313,222372,-1.01,-0.76,9.89,-0.03,-0.00,-0.00,30.67
6916199,2027,1,191902,221689,-0.99,-0.77,9.89,-0.03,-0.01,-0.01,30.67
6956199,1808,1,191895,221875,-1.00,-0.77,9.91,-0.03,-0.01,-0.00,30.67
6996199,1797,1,192033,222281,-0.99,-0.77,9.90,-0.03,-0.01,-0.00,30.67
7036199,1826,1,192194,222857,-1.02,-0.76,9.90,-0.03,-0.01,-0.01,30.67
7076885,1779,1,192341,223119,-1.00,-0.76,9.89,-0.03,-0.01,-0.01,30.71
7117199,1851,1,192327,223182,-0.99,-0.77,9.91,-0.03,-0.01,-0.00,30.71
7157199,2047,1,192267,223211,-1.00,-0.77,9.88,-0.03,-0.01,-0.00,30.71
7197199,1724,1,192336,223510,-0.99,-0.78,9.91,-0.03,-0.01,-0.01,30.71
7237232,1697,1,192411,223727,-0.99,-0.77,9.89,-0.03,-0.01,-0.01,30.71
7277199,4095,1,192457,223951,-1.00,-0.77,9.92,-0.03,-0.01,-0.00,30.71
7317199,1639,1,192400,224330,-1.00,-0.79,9.89,-0.03,-0.01,-0.01,30.71
7357200,1617,1,192585,224531,-1.02,-0.78,9.89,-0.03,-0.01,-0.01,30.71
7397199,1712,1,192556,224831,-0.99,-0.76,9.89,-0.03,-0.01,-0.00,30.71
7437240,1827,1,192654,224427,-1.01,-0.78,9.90,-0.03,-0.01,-0.00,30.71
7477199,2023,1,192166,222488,-1.00,-0.79,9.91,-0.03,-0.01,-0.01,30.71
7517199,2092,1,191579,221203,-1.01,-0.76,9.90,-0.03,-0.01,-0.01,30.71
7557199,1869,1,191483,221118,-0.99,-0.76,9.89,-0.03,-0.01,-0.00,30.71
7597199,1762,1,191484,221412,-0.98,-0.76,9.88,-0.03,-0.01,-0.00,30.71
7637199,1785,1,191734,221874,-0.99,-0.77,9.87,-0.03,-0.01,-0.00,30.71
7677199,1776,1,191919,222329,-1.00,-0.77,9.88,-0.03,-0.01,-0.00,30.71
7717198,1776,1,191931,222555,-1.00,-0.77,9.92,-0.03,-0.01,-0.00,30.71
7757200,1789,1,191920,222558,-1.00,-0.77,9.89,-0.03,-0.01,-0.01,30.71
7797199,1841,1,191882,222716,-1.00,-0.76,9.93,-0.03,-0.01,-0.00,30.71
7837200,2111,1,192017,222962,-1.00,-0.75,9.91,-0.03,-0.01,-0.01,30.71
7877199,1771,1,192103,223274,-1.02,-0.78,9.92,-0.03,-0.01,-0.01,30.71
7917199,1774,1,192131,223617,-0.98,-0.76,9.88,-0.03,-0.01,-0.01,30.71
7957199,4095,1,192226,223875,-0.97,-0.77,9.89,-0.03,-0.01,-0.00,30.71
7997199,1687,1,192301,224089,-1.01,-0.76,9.86,-0.03,-0.01,-0.00,30.71
8037199,1648,1,192449,224330,-0.99,-0.77,9.89,-0.03,-0.01,-0.00,30.71
8077885,1750,1,192601,224577,-1.01,-0.78,9.91,-0.03,-0.01,-0.00,30.19
8116199,1881,1,192671,224203,-0.98,-0.79,9.89,-0.03,-0.01,-0.00,30.19
8156199,2047,1,192101,222137,-1.00,-0.76,9.90,-0.03,-0.01,-0.01,30.19
8196199,2139,1,191533,220833,-0.98,-0.77,9.88,-0.03,-0.01,-0.01,30.19
8236199,1921,1,191336,220662,-1.00,-0.77,9.91,-0.03,-0.01,-0.00,30.19
8276199,1777,1,191413,220849,-1.01,-0.77,9.88,-0.03,-0.01,-0.00,30.19
8316199,1806,1,191557,221350,-0.99,-0.78,9.88,-0.03,-0.01,-0.00,30.19
8356199,1807,1,191735,221828,-0.98,-0.77,9.93,-0.03,-0.01,-0.00,30.19
