timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
2421502,1433,1,210236,253471,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2451957,1497,1,210103,253420,0.30,-0.43,9.72,-0.03,-0.01,-0.00,33.25
2492196,1614,1,210025,253136,0.31,-0.43,9.98,-0.03,-0.01,-0.00,33.25
2532187,1710,1,209845,253060,0.32,-0.44,9.96,-0.03,-0.02,-0.00,33.25
2572190,1749,1,209830,253046,0.31,-0.44,9.96,-0.03,-0.01,-0.00,33.25
2612187,1775,1,209724,252813,0.33,-0.45,9.97,-0.03,-0.02,-0.00,33.25
2652190,1788,1,209633,252777,0.33,-0.44,9.97,-0.03,-0.03,-0.00,33.25
2692187,1798,1,209665,253151,0.34,-0.45,9.99,-0.03,-0.02,-0.00,33.25
2732190,1810,1,209753,253409,0.33,-0.46,9.98,-0.03,-0.02,-0.00,33.25
2772187,1812,1,209899,253603,0.35,-0.45,9.96,-0.03,-0.02,-0.00,33.25
2812190,1810,1,209926,253524,0.35,-0.45,9.98,-0.03,-0.02,-0.00,33.25
2852187,1798,1,209952,253632,0.33,-0.47,9.97,-0.03,-0.02,-0.01,33.25
2892190,1727,1,209942,253854,0.37,-0.43,9.92,-0.03,-0.02,-0.00,33.25
2932187,1648,1,210014,254023,0.32,-0.43,9.99,-0.03,-0.01,-0.01,33.25
2972191,1652,1,209885,253031,0.34,-0.43,9.97,-0.03,-0.01,-0.00,33.25
3012187,1675,1,209322,251783,0.35,-0.44,10.00,-0.03,-0.01,-0.00,33.25
3052190,1758,1,209092,251423,0.35,-0.45,9.97,-0.03,-0.01,-0.01,33.25
3092188,1818,1,209068,251492,0.35,-0.46,9.99,-0.03,-0.01,-0.00,33.25
3132190,1812,1,209038,251475,0.35,-0.43,9.97,-0.03,-0.02,-0.01,33.25
3172187,1815,1,209019,251687,0.34,-0.43,9.97,-0.03,-0.01,-0.01,33.25
3212190,1792,1,209057,251841,0.35,-0.44,9.96,-0.03,-0.01,-0.00,33.25
3252187,1809,1,208967,251714,0.34,-0.44,9.96,-0.03,-0.01,-0.00,33.25
3292190,1843,1,208925,251627,0.35,-0.44,9.99,-0.03,-0.01,-0.00,33.25
3332187,1840,1,208903,251620,0.34,-0.43,9.97,-0.03,-0.01,-0.00,33.25
3372191,1840,1,208922,251741,0.35,-0.44,9.97,-0.03,-0.01,-0.01,33.25
3412188,1746,1,208965,252038,0.35,-0.42,9.97,-0.03,-0.01,-0.00,33.25
3451240,1758,1,209035,252248,0.34,-0.42,9.97,-0.03,-0.01,-0.01,33.25
3491878,1753,1,209111,252706,0.34,-0.44,9.95,-0.04,-0.01,-0.01,31.25
3532191,1805,1,209311,253220,0.34,-0.40,9.95,-0.04,-0.00,-0.01,31.25
3572187,1835,1,209477,253559,0.34,-0.45,9.97,-0.04,-0.01,-0.00,31.25
3612194,1682,1,209546,252583,0.32,-0.43,9.99,-0.04,-0.01,-0.00,31.25
3650220,1488,1,208916,251324,0.35,-0.42,9.98,-0.03,-0.01,-0.00,31.25
3690196,1361,1,208557,250933,0.34,-0.45,9.99,-0.03,-0.00,-0.00,31.25
3730193,1449,1,208522,250687,0.34,-0.43,9.99,-0.03,-0.00,-0.01,31.25
3770196,1582,1,208449,250413,0.32,-0.44,9.99,-0.04,0.00,-0.01,31.25
3810173,1735,1,208342,250305,0.31,-0.46,9.99,-0.04,0.00,-0.01,31.25
3850175,1787,1,208338,250121,0.30,-0.44,9.94,-0.03,-0.01,-0.00,31.25
3890193,1774,1,208295,249990,0.29,-0.43,9.96,-0.03,-0.01,-0.01,31.25
3930196,1813,1,208116,249918,0.32,-0.44,9.98,-0.03,-0.01,-0.00,31.25
3970193,1851,1,208108,250077,0.31,-0.45,9.96,-0.03,-0.01,-0.01,31.25
4010196,1907,1,208229,250397,0.30,-0.44,9.97,-0.04,-0.00,-0.01,31.25
4050193,1914,1,208433,250770,0.31,-0.45,9.99,-0.03,-0.00,-0.00,31.25
4090196,1947,1,208555,251009,0.31,-0.45,9.98,-0.03,-0.01,-0.01,31.25
4130194,1949,1,208651,251194,0.29,-0.43,9.97,-0.03,-0.01,-0.00,31.25
4170195,1936,1,208688,251441,0.30,-0.43,9.98,-0.03,-0.01,-0.01,31.25
4210194,1895,1,208635,251658,0.31,-0.44,9.97,-0.03,-0.01,-0.00,31.25
4250196,1908,1,208648,251152,0.31,-0.44,9.99,-0.03,-0.01,-0.00,31.25
4290221,1904,1,208289,249666,0.30,-0.45,9.97,-0.03,-0.01,-0.00,31.25
4330196,2042,1,207926,248989,0.34,-0.44,9.95,-0.03,-0.00,-0.00,31.25
4370193,2075,1,207694,248800,0.24,-0.43,10.07,-0.04,-0.00,-0.00,31.25
4410196,2039,1,207736,248748,0.31,-0.45,9.87,-0.03,-0.01,-0.01,31.25
4450193,1998,1,207617,248694,0.33,-0.46,9.97,-0.02,-0.05,-0.01,31.25
4490211,1957,1,207662,248972,0.31,-0.43,10.00,-0.03,-0.02,-0.01,31.25
4530873,2391,1,207769,249183,0.31,-0.41,9.96,-0.03,0.00,-0.01,31.11
4571169,2497,1,207828,249298,0.29,-0.44,9.97,-0.03,-0.01,-0.00,31.11
4611187,2625,1,207927,249490,0.33,-0.45,9.97,-0.03,-0.01,-0.00,31.11
4651190,2419,1,208022,249902,0.30,-0.43,9.97,-0.03,-0.01,-0.00,31.11
4691202,2192,1,208235,250307,0.30,-0.42,9.98,-0.03,-0.02,-0.00,31.11
4731190,2091,1,208377,250673,0.33,-0.45,9.99,-0.03,-0.01,-0.00,31.11
4771187,1984,1,208620,251355,0.30,-0.44,9.98,-0.03,-0.01,-0.00,31.11
4811190,1825,1,208982,252044,0.28,-0.41,10.00,-0.03,-0.01,-0.01,31.11
4851186,1712,1,209237,252673,0.32,-0.44,9.98,-0.03,-0.01,-0.00,31.11
4891190,1611,1,209383,253112,0.30,-0.44,9.97,-0.03,-0.01,-0.00,31.11
4931187,1581,1,209457,252452,0.28,-0.43,9.98,-0.03,-0.01,-0.00,31.11
