timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1917488,1802,1,201609,231504,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947959,1567,1,201594,231457,0.56,-0.79,9.70,-0.03,-0.01,-0.00,33.85
1988199,1371,1,201671,231530,0.57,-0.79,9.96,-0.03,-0.01,-0.00,33.85
2028189,1306,1,201741,231780,0.56,-0.81,9.96,-0.03,-0.01,-0.00,33.85
2068193,1273,1,201854,232107,0.56,-0.80,9.96,-0.03,-0.01,-0.00,33.85
2108189,1303,1,201994,232150,0.56,-0.79,9.96,-0.03,-0.01,-0.00,33.85
2148192,1354,1,201992,231637,0.58,-0.79,9.95,-0.03,-0.01,-0.00,33.85
2188189,1399,1,201662,230458,0.58,-0.82,9.97,-0.04,-0.01,-0.00,33.85
2228193,1463,1,201363,229897,0.55,-0.81,9.97,-0.03,-0.01,-0.00,33.85
2268189,1489,1,201253,230147,0.57,-0.82,9.96,-0.04,-0.01,-0.01,33.85
2308193,1565,1,201418,230712,0.58,-0.82,9.95,-0.04,-0.01,-0.00,33.85
2348189,1608,1,201464,231304,0.58,-0.80,9.96,-0.03,-0.01,-0.00,33.85
2388193,1707,1,201743,231880,0.56,-0.81,9.94,-0.03,-0.01,-0.00,33.85
2428190,1749,1,201929,232188,0.58,-0.80,9.95,-0.03,-0.02,-0.00,33.85
2468192,1764,1,201960,232426,0.56,-0.79,9.96,-0.03,-0.01,-0.00,33.85
2508188,1834,1,202003,232641,0.58,-0.83,9.97,-0.03,-0.01,-0.00,33.85
2548192,1898,1,202113,232837,0.57,-0.81,9.96,-0.03,-0.01,-0.00,33.85
2588189,1933,1,202168,233066,0.58,-0.81,9.96,-0.03,-0.01,-0.00,33.85
2628193,1978,1,202277,233312,0.58,-0.82,9.95,-0.03,-0.01,-0.00,33.85
2668189,1957,1,202365,233629,0.57,-0.80,9.95,-0.04,-0.01,-0.00,33.85
2708192,2005,1,202449,233829,0.57,-0.79,9.98,-0.04,-0.01,-0.00,33.85
2748189,2015,1,202468,233543,0.58,-0.80,9.95,-0.03,-0.01,-0.00,33.85
2788192,2085,1,202176,232607,0.55,-0.82,9.94,-0.03,-0.01,-0.01,33.85
2828189,2079,1,201928,231868,0.58,-0.84,9.98,-0.03,-0.01,-0.01,33.85
2868193,2106,1,201791,231450,0.56,-0.82,9.95,-0.03,-0.01,-0.00,33.85
2908190,2053,1,201829,231342,0.56,-0.81,9.96,-0.03,-0.01,-0.01,33.85
2948193,2053,1,201943,231573,0.58,-0.81,9.97,-0.03,-0.01,-0.00,33.85
2988876,2066,1,202057,232022,0.58,-0.79,9.96,-0.03,-0.01,-0.00,33.77
3027198,2058,1,202135,232351,0.57,-0.80,9.92,-0.03,-0.01,-0.00,33.77
3067223,2033,1,202202,232701,0.57,-0.78,9.95,-0.03,-0.01,-0.00,33.77
3107192,2085,1,202302,232983,0.58,-0.81,9.98,-0.03,-0.01,-0.00,33.77
3147188,2099,1,202434,233162,0.57,-0.82,9.98,-0.03,-0.01,-0.00,33.77
3187193,2122,1,202667,233260,0.58,-0.81,9.97,-0.03,-0.01,-0.00,33.77
3227189,2087,1,202739,233430,0.57,-0.81,9.95,-0.03,-0.01,-0.00,33.77
3267193,2086,1,202776,233581,0.56,-0.82,9.94,-0.03,-0.01,-0.00,33.77
3307189,2090,1,202839,233773,0.57,-0.80,9.95,-0.03,-0.01,-0.01,33.77
3347192,2044,1,202868,233915,0.58,-0.82,9.98,-0.03,-0.01,-0.00,33.77
3387190,2046,1,202772,233178,0.58,-0.81,9.94,-0.03,-0.01,-0.00,33.77
3427193,2061,1,202410,231882,0.58,-0.81,9.95,-0.03,-0.01,-0.00,33.77
3467189,2007,1,202067,231184,0.57,-0.81,9.96,-0.03,-0.01,-0.00,33.77
3507192,2019,1,201951,231165,0.56,-0.81,9.96,-0.03,-0.01,-0.00,33.77
