timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1919490,1485,1,207463,232008,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949961,1261,1,207153,231651,0.51,-0.78,9.71,-0.03,-0.01,-0.00,31.61
1990201,1166,1,207096,231679,0.55,-0.82,9.97,-0.03,-0.01,-0.00,31.61
2030192,1111,1,207157,231959,0.56,-0.80,9.95,-0.03,-0.01,-0.00,31.61
2070195,1237,1,207358,232481,0.55,-0.80,9.95,-0.03,-0.01,-0.00,31.61
2110192,1281,1,207433,232629,0.53,-0.81,9.99,-0.03,-0.01,-0.00,31.61
2150195,1338,1,207491,232630,0.55,-0.81,9.95,-0.03,-0.01,-0.01,31.61
2190192,1429,1,207559,232887,0.52,-0.82,9.97,-0.03,-0.01,-0.00,31.61
2229195,1527,1,207627,233219,0.53,-0.81,9.97,-0.03,-0.01,-0.00,31.61
2269191,1665,1,207676,233291,0.54,-0.80,9.95,-0.03,-0.01,-0.00,31.61
2309195,1725,1,207754,233902,0.53,-0.80,9.97,-0.03,-0.01,-0.00,31.61
2349206,1294,1,208021,234812,0.55,-0.82,10.00,-0.03,-0.00,-0.01,31.61
2389195,1978,1,208338,235585,0.50,-0.81,9.96,-0.03,-0.01,-0.01,31.61
2429191,2153,1,208600,236423,0.52,-0.80,9.96,-0.03,-0.01,-0.01,31.61
2469195,2184,1,208928,237513,0.56,-0.79,9.95,-0.04,-0.01,-0.01,31.61
2509192,2230,1,208979,237160,0.54,-0.81,9.96,-0.04,-0.00,-0.01,31.61
2549195,2205,1,208345,236003,0.53,-0.81,9.95,-0.04,-0.00,-0.01,31.61
2589192,2203,1,207662,235191,0.53,-0.80,9.98,-0.04,-0.01,-0.01,31.61
2629195,2186,1,207353,234822,0.49,-0.81,9.98,-0.03,-0.03,0.00,31.61
2669172,2170,1,207465,234793,0.56,-0.78,9.94,-0.03,-0.01,-0.00,31.61
2709195,2150,1,207307,234256,0.53,-0.79,9.98,-0.03,-0.01,-0.00,31.61
2749191,2115,1,207193,233823,0.54,-0.81,9.96,-0.03,-0.02,0.00,31.61
2789175,2096,1,207314,234497,0.58,-0.82,9.94,-0.03,-0.01,-0.00,31.61
2829191,2067,1,207664,235682,0.55,-0.82,9.94,-0.04,-0.00,-0.01,31.61
2869195,2015,1,207883,236455,0.51,-0.81,9.97,-0.04,-0.00,-0.01,31.61
2909191,1990,1,207982,237105,0.51,-0.82,9.95,-0.03,-0.01,-0.00,31.61
2949195,1973,1,208224,237539,0.55,-0.79,9.95,-0.03,-0.02,-0.00,31.61
2989878,1935,1,208235,237960,0.53,-0.82,9.96,-0.03,-0.01,-0.00,31.41
3030196,1919,1,208417,238462,0.53,-0.81,9.95,-0.03,-0.01,-0.00,31.41
3070192,1919,1,208504,238984,0.53,-0.79,9.94,-0.03,-0.01,-0.01,31.41
3110195,1922,1,208598,239268,0.55,-0.80,9.97,-0.03,-0.01,-0.00,31.41
3150191,1919,1,208635,239272,0.50,-0.81,9.98,-0.03,-0.01,-0.00,31.41
