timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1948958,1862,1,212267.25,243496,1.26,0.17,9.88,-0.03,-0.01,-0.0,33.32,0.030471,-4.371821098355215,10.799226634912904,9.961470774940818,0.03162277660168379,-0.18783914711721578,0.02532530434522274
1989177,1862,1,212267.25,243499,1.28,0.16,9.92,-0.03,-0.01,-0.0,33.32,0.07069,-12.77021156912768,-22.158360112605436,10.003519380697975,0.03162277660168379,-0.5688379280517922,-0.06630243272644804
2029169,1862,1,212267.25,243788,1.29,0.14,9.959999999999999,-0.03,-0.01,-0.0,33.32,0.110682,-21.776692808718458,-29.177665818435635,10.044167461766056,0.03162277660168379,-0.9774231664657667,-0.08581730505513627
2069172,1862,1,212267.25,244188,1.32,0.16,9.92,-0.03,-0.01,-0.0,33.32,0.150685,-29.823537186315203,-2.3104199661949663,10.008716201391666,0.03162277660168379,-1.342473816218733,-0.011121758999282713
2109169,1862,1,212402.0,244493,1.28,0.17,9.91,-0.03,-0.01,-0.0,33.32,0.190682,-38.42627264809793,42.89123943820238,9.993768058145037,0.03162277660168379,-1.7327428487254344,0.11454659757179422
2149171,1862,1,212499.0,244577,1.29,0.15,9.94,-0.03,-0.01,-0.0,33.32,0.230684,-47.25528746332035,79.14694631261574,10.024480036390914,0.03162277660168379,-2.1332772002966895,0.2153436735921269
2189169,1862,1,212399.0,244598,1.29,0.15,9.91,-0.03,-0.01,-0.0,33.32,0.270682,-54.394529441325076,88.12240151098827,9.994733613258534,0.03162277660168379,-2.4571538406937834,0.24029697661504815
2229172,1862,1,212477.0,244604,1.29,0.14,9.92,-0.03,-0.01,-0.0,33.32,0.310685,-64.08105971692095,75.32987201296221,10.004503985705638,0.03162277660168379,-2.8965899730493256,0.20473155314195404
2269169,1862,1,212455.0,244873,1.3,0.18,9.94,-0.03,-0.01,-0.0,33.32,0.350682,-70.72538383561442,69.55626039203496,10.026265506159309,0.03162277660168379,-3.1980143231276306,0.18867992376723652
2309172,1862,1,212597.0,245265,1.27,0.16,9.94,-0.03,-0.01,-0.0,33.32,0.390685,-78.69743081752873,107.39367143517599,10.022080622305928,0.03162277660168379,-3.5596717373944324,0.2938744083359441
2349169,1862,1,212654.0,245668,1.31,0.14,9.91,-0.03,-0.01,-0.0,33.32,0.430682,-88.198996462614,209.9626331994978,9.99718960508402,0.03162277660168379,-3.9907168216097624,0.5790336929720742
2389172,1862,1,212764.0,245927,1.29,0.15,9.91,-0.03,-0.01,-0.0,33.32,0.470685,-90.70109487377123,361.8854398358746,9.994733613258534,0.03162277660168379,-4.104226243176531,1.001405121083885
2429169,1862,1,212943.0,246198,1.29,0.16,9.9,-0.03,-0.01,-0.0,33.32,0.510682,-105.470947356863,505.788682552212,9.984973710531241,0.03162277660168379,-4.774270796382915,1.4014807876788076
