model,sbp_mae,sbp_rmse,sbp_r2,dbp_mae,dbp_rmse,dbp_r2
RandomForest,3.353595285873686,4.07453450790675,0.07136934355769686,1.8888279660928642,2.826001366544684,0.5363633210962648
XGBoost,3.4513943195343018,4.217153515560432,0.005222678184509277,1.9974194765090942,2.877862417562971,0.5191904306411743
GradientBoosting,3.3756452256644764,4.161333476481514,0.03138306774831312,2.0797410622476686,2.8465433342139668,0.5295985513431349
